service,method,path_norm,fe_files,be_files,notes
public-api,GET,/FINANCE/COUPONS,,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/PAYOUTS/BATCHES,,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/PAYOUTS/BATCHES/{PARAM},,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/PAYOUTS/BATCHES/{PARAM}/ITEMS,,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/RECONCILIATIONS,,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/RECONCILIATIONS/{PARAM},,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/REPORTS,,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/REPORTS/DAILY/{PARAM},,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/SETTLEMENTS/ENTITY/{PARAM},,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/FINANCE/SETTLEMENTS/{PARAM},,bthwani-project-main/backend-nest/src/modules/finance/finance.controller.ts,BE-ONLY
public-api,GET,/GROCERIES/CATALOG,bthwani-project-main/vendor-app/src/screens/CatalogProductPickerScreen.tsx,,FE-ONLY
public-api,GET,/HEALTH,bthwani-project-main/backend-nest/test/e2e/app.e2e-spec.ts,bthwani-project-main/backend-nest/docs/PRODUCTION_READY_REPORT.md;bthwani-project-main/backend-nest/docs/SECURITY_AUDIT_REPORT.md;bthwani-project-main/backend-nest/reports/ACTION_PLAN_100.md;bthwani-project-main/backend-nest/src/modules/health/health.controller.ts,OK
public-api,GET,/HEALTH/ADVANCED,,bthwani-project-main/backend-nest/src/modules/health/health.controller.ts,BE-ONLY
public-api,GET,/HEALTH/BALANCE,,bthwani-project-main/backend-nest/docs/SECURITY_AUDIT_REPORT.md,BE-ONLY
public-api,GET,/HEALTH/DETAILED,,bthwani-project-main/backend-nest/docs/SECURITY_AUDIT_REPORT.md;bthwani-project-main/backend-nest/src/modules/health/health.controller.ts,BE-ONLY
public-api,GET,/HEALTH/INFO,,bthwani-project-main/backend-nest/src/modules/health/health.controller.ts,BE-ONLY
public-api,GET,/HEALTH/LIVENESS,,bthwani-project-main/backend-nest/docs/PRODUCTION_READY_REPORT.md;bthwani-project-main/backend-nest/docs/SECURITY_AUDIT_REPORT.md;bthwani-project-main/backend-nest/src/modules/health/health.controller.ts,BE-ONLY
public-api,GET,/HEALTH/ME,,bthwani-project-main/backend-nest/docs/SECURITY_AUDIT_REPORT.md,BE-ONLY
public-api,GET,/HEALTH/METRICS,,bthwani-project-main/backend-nest/src/modules/health/health.controller.ts,BE-ONLY
public-api,GET,/HEALTH/READINESS,,bthwani-project-main/backend-nest/docs/PRODUCTION_READY_REPORT.md;bthwani-project-main/backend-nest/docs/SECURITY_AUDIT_REPORT.md;bthwani-project-main/backend-nest/src/modules/health/health.controller.ts,BE-ONLY
public-api,GET,/HEALTH/STARTUP,,bthwani-project-main/backend-nest/docs/SECURITY_AUDIT_REPORT.md;bthwani-project-main/backend-nest/src/modules/health/health.controller.ts,BE-ONLY
public-api,GET,/JOURNAL-ENTRIES,bthwani-project-main/admin-dashboard/src/pages/money/JournalEntries.tsx,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md;bthwani-project-main/backend-nest/src/modules/er/er.controller.ts,OK
