surface,file,client,method,path,normalized_path
UNKNOWN,bthwani-project-main/app-user/src/api/kawaderApi.ts,axiosInstance,GET,/kawader/my,/KAWADER/MY
UNKNOWN,bthwani-project-main/app-user/src/api/kawaderApi.ts,axiosInstance,GET,/kawader/search,/KAWADER/SEARCH
UNKNOWN,bthwani-project-main/app-user/src/api/kenzApi.ts,axiosInstance,POST,/kenz,/KENZ
UNKNOWN,bthwani-project-main/app-user/src/api/kenzApi.ts,axiosInstance,GET,/kenz,/KENZ
UNKNOWN,bthwani-project-main/app-user/src/api/kenzApi.ts,axiosInstance,GET,/kenz/my,/KENZ/MY
UNKNOWN,bthwani-project-main/app-user/src/api/kenzApi.ts,axiosInstance,GET,/kenz/search,/KENZ/SEARCH
UNKNOWN,bthwani-project-main/app-user/src/api/kenzApi.ts,axiosInstance,GET,/kenz/stats,/KENZ/STATS
UNKNOWN,bthwani-project-main/app-user/src/api/kenzApi.ts,axiosInstance,GET,/kenz/category,/KENZ/CATEGORY
UNKNOWN,bthwani-project-main/app-user/src/api/maaroufApi.ts,axiosInstance,POST,/maarouf,/MAAROUF
UNKNOWN,bthwani-project-main/app-user/src/api/maaroufApi.ts,axiosInstance,GET,/maarouf,/MAAROUF
UNKNOWN,bthwani-project-main/app-user/src/api/maaroufApi.ts,axiosInstance,GET,/maarouf/my,/MAAROUF/MY
UNKNOWN,bthwani-project-main/app-user/src/api/maaroufApi.ts,axiosInstance,GET,/maarouf/search,/MAAROUF/SEARCH
UNKNOWN,bthwani-project-main/app-user/src/api/orders.ts,axiosInstance,GET,/delivery/order/my-orders,/DELIVERY/ORDER/MY-ORDERS
UNKNOWN,bthwani-project-main/app-user/src/api/paymentsApi.ts,axiosInstance,POST,/api/v2/payments/holds,/API/V2/PAYMENTS/HOLDS
UNKNOWN,bthwani-project-main/app-user/src/api/paymentsApi.ts,axiosInstance,GET,/api/v2/payments/holds/my,/API/V2/PAYMENTS/HOLDS/MY
UNKNOWN,bthwani-project-main/app-user/src/api/sanadApi.ts,axiosInstance,POST,/api/v2/sanad,/API/V2/SANAD
UNKNOWN,bthwani-project-main/app-user/src/api/sanadApi.ts,axiosInstance,GET,/api/v2/sanad,/API/V2/SANAD
UNKNOWN,bthwani-project-main/app-user/src/api/sanadApi.ts,axiosInstance,GET,/api/v2/sanad/my,/API/V2/SANAD/MY
UNKNOWN,bthwani-project-main/app-user/src/api/sanadApi.ts,axiosInstance,GET,/api/v2/sanad/search,/API/V2/SANAD/SEARCH
UNKNOWN,bthwani-project-main/app-user/src/api/support.ts,axiosInstance,POST,/support/tickets,/SUPPORT/TICKETS
UNKNOWN,bthwani-project-main/app-user/src/api/support.ts,axiosInstance,GET,/support/tickets,/SUPPORT/TICKETS
UNKNOWN,bthwani-project-main/app-user/src/api/support.ts,axiosInstance,GET,/support/stats,/SUPPORT/STATS
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/balance,/V2/WALLET/BALANCE
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/transactions,/V2/WALLET/TRANSACTIONS
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/topup/methods,/V2/WALLET/TOPUP/METHODS
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,POST,/v2/wallet/topup/kuraimi,/V2/WALLET/TOPUP/KURAIMI
